CourseCode,Gender
CATSNG,M
ZDSNG,M
CSSNG,M
GMSNG,F
UPSNG,M
CYBBS,M
FTPBA,M
INFSNG,M
CPTSNG,F
CCHSNG,F
JOUSNG,F
CGSSNG,M
TFPSNG,M
TGDBS,M
FASNG,M
CMA,F
TDGMA,F
IGDSNG,M
CGPPRD,M
AVBA,F
CGVIMO,M
VIWBA,F
GMA,F
WBPBS,F
CSCPRD,M
TDABA,M
CSFSNG,M
GDEPRD,F
CGNBA,F
CAMA,F
MUTBS,M
ZDFSNG,M
MZSNG,F
GMFSNG,M
CCHFSNG,F
CVESNG,F
PLMSNG,M
CANSNG,M
CBSMS,M
SPJBA,M
AQMA,F
MJSSNG,M
MDCBA,F
CSNSNG,M
OABA,F
CNMS,M
HIFBS,M
CPTFSNG,M
BMPSNG,F
FMCUBA,F
CBSAMS,M
CNPRD,F
MPRPRD,F
FUAPRD,M
PFTMA,M
DCMPRD,F
DWEBS,F
MJMSNG,M
AGMA,M
DGMBS,M
DNCSNG,F
IPMPRD,M
WMMSNG,F
AQMA1,F
CSMS,F
VIEIMO,F
DTSAMS,F
CSNPRD,M
ATDGMA,M
GPDMA,M
GPDPRD,F
CSNMS,F
AGAPRD,M
VIEAMA,M
MMJSNG,M
TVEMS,M
CANFSNG,M
CSMS1,M
CVEFSNG,F
IPMMS,F
DTSMS,F
AGAMA,M
PFTMAE,F
FOMA,M
,M
,M
,M
,M
,M
,M
,M
,F
,M
,F
,F
,M
,F
,F
,M
,M
,F
,M
,M
,M
,F
,F
,M
,F
,F
,M
,F
,M
,M
,M
,F
,F
,F
,M
,F
,M
,M
,M
,F
,M
,F
,F
,M
,F
,F
,M
,F
,F
,M
,F
,M
,F
,F
,M
,M
,M
,F
,F
,M
,M
,M
,F
,M
,M
,F
,M
,F
,F
,F
,F
,M
,M
,M
,M
,M
,F
,M
,F
,F
,F
,F
,F
,M
,M
,F
,F
,M
,M
,M
,F
,F
,F
,M
,F
,F
,M
,M
,F
,M
,M
,M
,M
,F
,M
,M
,F
,F
,M
,M
,F
,M
,M
,M
,M
,F
,M
,M
,M
,F
,F
,M
,M
,M
,M
,F
,M
,F
,M
,M
,F
,M
,M
,F
,M
,M
,F
,M
,M
,F
,M
,F
,F
,M
,F
,F
,M
,M
,M
,M
,M
,M
,M
,F
,M
,F
,F
,M
,M
,F
,M
,F
,M
,M
,M
,M
,M
,F
,M
,F
,M
,F
,M
,F
,M
,M
,F
,M
,M
,M
,F
,M
,F
,M
,F
,F
,F
,F
,F
,M
,F
,M
,F
,M
,F
,M
,M
,M
,F
,M
,M
,M
,F
,M
,M
,F
,M
,M
,M
,F
,M
,M
,F
,F
,M
,M
,M
,M
,M
,M
,F
,M
,F
,F
,M
,F
,F
,M
,M
,M
,F
,M
,M
,F
,M
,F
,F
,F
,F
,M
,M
,M
,M
,F
,M
,M
,M
,M
,M
,M
,F
,F
,M
,F
,M
,F
,F
,F
,F
,F
,F
,M
,M
,F
,F
,M
,F
,M
,F
,M
,F
,M
,F
,F
,F
,F
,F
,M
,F
,F
,M
,F
,F
,M
,M
,F
,M
,F
,M
,M
,M
,M
,F
,M
,F
,M
,M
,M
,F
,F
,M
,M
,F
,F
,M
,F
,M
,F
,F
,F
,F
,M
,F
,F
,F
,F
,M
,M
,F
,F
,M
,F
,M
,F
,M
,F
,F
,M
,M
,M
,F
,F
,M
,F
,F
,M
,F
,M
,M
,M
,F
,M
,F
,M
,M
,M
,M
,F
,M
,M
,M
,F
,F
,M
,M
,M
,F
,M
,F
,F
,M
,F
,M
,F
,M
,M
,M
,M
,M
,M
,M
,M
,F
,F
,F
,M
,M
,M
,F
,F
,M
,F
,F
,F
,M
,F
,F
,M
,F
,M
,F
,F
,F
,M
,F
,M
,M
,M
,F
,M
,M
,F
,F
,M
,M
,F
,F
,M
,M
,F
,M
,M
,F
,F
,F
,F
,F
,M
,M
,F
,M
,F
,M
,M
,M
,F
,F
