PostCode,Gender,ModuleCode
TS1,M,5119
0,M,4555
TS5,M,3054
TS1,F,2964
DL1,M,2777
TS23,M,2718
TS17,M,2628
TS3,M,2563
0,F,2510
TS5,F,2332
TS17,F,2331
TS19,M,1838
DL3,M,1835
TS10,M,1761
TS4,M,1595
DL1,F,1591
TS4,F,1552
TS6,M,1481
TS18,M,1450
TS19,F,1424
TS25,M,1392
TS18,F,1359
TS25,F,1358
TS23,F,1336
TS20,M,1315
TS7,M,1286
TS12,M,1245
TS6,F,1213
DL3,F,1111
TS12,F,1098
DL5,M,1072
TS26,M,1046
TS8,F,1027
TS15,M,1002
TS10,F,998
TS3,F,960
TS24,M,946
DH6,M,942
TS8,M,853
DH4,M,829
DL5,F,819
SR2,M,797
TS7,F,717
DL14,M,712
TS20,F,696
DL9,M,693
NE9,M,690
DL2,M,679
NE34,F,677
TS16,F,632
NE34,M,621
DH6,F,620
TS11,F,618
DH7,M,560
NE23,M,554
TS15,F,541
TS14,F,537
SR4,M,515
SR6,M,515
SR8,M,505
TS21,F,502
TS11,M,494
DH7,F,485
TS24,F,485
NE31,F,474
SR4,F,467
SR8,F,465
TS22,M,465
YO12,M,458
DL6,M,456
SR2,F,455
DL9,F,454
DH5,M,451
NE6,M,435
YO21,M,400
TS14,M,389
TS16,M,377
TS21,M,372
SR6,F,343
PO30,F,338
TS26,F,328
DL15,M,320
TS27,F,313
DL4,M,310
NE3,M,309
DL17,M,308
DL7,M,304
DL16,M,302
CA11,M,296
TS27,M,295
WF8,M,293
NE9,F,286
NE37,M,284
NE8,F,273
DL4,F,270
GL2,M,266
NE10,F,264
NE37,F,264
WF1,M,262
YO7,M,262
DL8,F,259
LL19,M,254
LA18,M,251
NE20,M,251
TS29,F,251
HG4,F,249
NE22,M,249
YO12,F,248
NE38,F,247
NE16,M,246
SR7,F,244
SR3,M,240
LS11,M,238
NE12,M,235
YO8,F,235
NE33,F,233
WF3,F,231
CR0,M,228
DH3,F,228
S80,M,226
NE24,M,222
WF2,M,222
DL7,F,220
DH1,M,217
SR3,F,216
DH4,F,213
YO31,M,213
NE42,F,212
637001,F,211
LS14,M,211
NE5,F,206
NE61,F,206
NE10,M,204
DH1,F,202
DH9,M,202
TS22,F,202
NE15,F,195
CA6,M,194
S5,M,194
DL10,M,193
DL17,F,193
NE6,F,192
BT20,M,185
DL8,M,184
NE7,M,182
DL14,F,179
SW11,M,178
SN9,M,174
WF1,F,172
M24,M,171
WA15,F,171
DE11,F,170
BD16,F,169
DH8,F,169
M33,M,169
NE32,M,169
OL2,M,169
TS9,M,169
SK13,M,168
DL6,F,167
CA5,M,166
DH5,F,165
DL15,F,165
DL12,F,164
SR5,F,164
YO62,F,164
CA15,M,163
CB23,M,163
DN22,F,163
NE22,F,163
NE38,M,163
SR1,M,163
HG5,M,162
S5,F,162
121000,F,160
LS10,F,160
NE33,M,160
YO15,F,160
NW9,F,159
GX11,M,158
YO32,M,158
CV3,F,156
PO36,M,156
WF4,M,156
BD5,M,155
DE23,M,155
WF6,F,155
NE61,M,154
NR31,M,154
TS9,F,154
WF9,F,153
BT53,M,152
