CourseCode,Female,Male
AGAMA,71,72
AGAPRD,72,198
AGMA,140,498
AQMA,353,217
AQMA1,72,71
ATDGMA,143,1586
AVBA,668,143
BMPSNG,529,615
CAMA,761,128
CANSNG,522,460
CATSNG,8151,10345
CBSAMS,250,394
CBSMS,217,667
CCHFSNG,450,603
CCHSNG,1367,2255
CGNBA,301,1121
CGPPRD,1039,1254
CGSSNG,1031,2054
CGVIMO,913,1277
CMA,995,1368
CNMS,367,364
CNPRD,110,449
CPTFSNG,343,369
CPTSNG,1184,3247
CSCPRD,765,938
CSFSNG,691,886
CSMS,182,60
CSMS1,120,104
CSNMS,84,475
CSNPRD,225,9397
CSNSNG,317,49
CSSNG,7335,539
CVEFSNG,48,3684
CVESNG,493,186
CYBBS,2949,336
DCMPRD,226,243
DNCSNG,81,87
DTSAMS,142,74
DWEBS,114,272
FASNG,833,1571
FMCUBA,338,317
FOMA,8,3069
FTPBA,2083,273
FUAPRD,165,1005
GDEPRD,557,1265
GMA,546,686
GMFSNG,454,7818
GMSNG,5462,137
GPDMA,69,69
GPDPRD,137,390
HIFBS,329,1781
IGDSNG,558,2355
INFSNG,2319,97
IPMPRD,251,68
JOUSNG,1420,1831
MDCBA,361,436
MJMSNG,144,217
MJSSNG,153,671
MMJSNG,63,72
MPRPRD,320,197
MUTBS,360,858
MZSNG,436,727
OABA,435,312
PFTMA,182,248
PLMSNG,303,70
SPJBA,236,709
TDABA,891,646
TDGMA,921,730
TFPSNG,1339,1433
TGDBS,960,1525
TVEMS,131,1835
UPSNG,3321,5626
VIEAMA,72,72
VIEIMO,157,79
VIWBA,685,1317
WBPBS,750,988
WMMSNG,273,23
ZDFSNG,619,553
ZDSNG,7490,9500
